ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"72.194.234.87","elite","AS22773","US","Cox Communications Inc.","158","Cox Communications Inc.","5678","socks4","303","1","2024-05-11T05:10:04.417Z","71","4928","6918"
"201.159.15.133","elite","AS263778","AR","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","245","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","5678","socks4","251","2","2024-05-11T05:10:03.035Z","97","6893","7074"
"103.199.157.137","elite","AS134318","IN","city broadband network pvt.ltd","150","N/A","41610","socks4","255","1","2024-05-11T05:10:01.559Z","100","6931","6946"
"185.152.228.226","elite","AS197784","SE","Gibon Ljungby AB","45","Systempartner i Ljungby AB","5678","socks4","910","2","2024-05-11T05:10:01.198Z","17","1211","7115"
"175.155.181.10","elite","AS4837","CN","China Unicom Sichuan Province Network","201","N/A","24388","socks5","175","2","2024-05-11T05:10:01.034Z","64","4457","6948"
"95.38.95.40","elite","AS41881","IR","Fanava Group","92","Fanava Group","8085","socks5","767","6","2024-05-11T05:10:00.854Z","64","4439","6982"
"137.184.42.134","elite","AS14061","US","DigitalOcean, LLC","175","DigitalOcean, LLC","12544","socks4","1197","1","2024-05-11T05:10:00.302Z","100","7004","7031"
"88.248.2.160","elite","AS47331","TR","TurkTelecom","62","Turk Telekomunikasyon A.S","5678","socks4","1900","1","2024-05-11T05:10:00.204Z","88","6236","7062"
"104.21.194.19","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","590","1","2024-05-11T05:10:00.091Z","100","6961","6961"
"125.253.125.132","elite","AS45538","VN","ODS Joint Stock Company","404","ODSJSC","46051","socks4","898","1","2024-05-11T05:09:59.899Z","98","6781","6927"
"157.245.140.55","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","35965","socks5","886","1","2024-05-11T05:09:59.603Z","94","6585","7036"
"187.94.253.213","elite","AS262766","BR","Vital NET","285","VITAL","5678","socks4","1393","2","2024-05-11T05:09:58.195Z","99","6888","6953"
"82.137.245.31","elite","AS29256","SY","ISP-TARASSUL","58","N/A","5678","socks4","2301","1","2024-05-11T05:09:57.499Z","99","6924","6996"
"62.73.127.98","elite","AS8866","BG","Vivacom Bulgaria EAD","92","ET Velin Nikolov Minchev","9898","socks4","3202","1","2024-05-11T05:09:56.501Z","99","278","281"
"185.140.102.218","elite","AS203272","PL","Netservice","47","N/A","5678","socks4","4497","2","2024-05-11T05:09:55.706Z","70","4888","7015"
"24.90.38.88","elite","AS12271","US","Charter Communications Inc","142","Spectrum","48783","socks4","4299","1","2024-05-11T05:09:55.796Z","100","7006","7014"
"103.36.35.251","elite","AS131111","ID","PT Mora Telematika Indonesia","344","PT Tunas Sukses Mandiri","5678","socks4","4388","2","2024-05-11T05:09:55.794Z","98","242","248"
"175.173.221.229","elite","AS4837","CN","China Unicom Liaoning Province Network","194","N/A","28643","socks4","4403","2","2024-05-11T05:09:55.789Z","71","4857","6884"
"154.208.10.126","elite","AS40065","US","Cnservers LLC","185","CenturyNetworks LTD","80","http","625","3204","2024-05-11T05:09:54.194Z","100","21","21"
"46.105.124.74","elite","AS16276","FR","OVH SAS","87","OVH ISP","7497","socks5","3305","1","2024-05-11T05:09:54.893Z","100","6952","6959"
"5.1.104.67","elite","AS198735","IQ","HRiNS network","93","HRiNS For","33041","socks4","4706","3","2024-05-11T05:09:54.800Z","98","324","329"
"195.24.157.66","elite","AS6702","UA","Science Production Company \"Trifle\" Ltd.","67","Apex","4006","http","298","2095","2024-05-11T05:09:54.197Z","100","19","19"
"38.127.179.34","elite","AS174","US","Cogent Communications","94","Torlandia Trading SRL","11537","socks5","4611","82","2024-05-11T05:09:53.997Z","100","6958","6974"
"66.42.224.229","elite","N/A","US","Fuse Internet Access","293","N/A","41679","socks4","587","2","2024-05-11T05:09:53.595Z","87","129","148"
